2025-04-03 15:00:31,318 - INFO -   train_X has : 9 features
2025-04-03 15:00:31,318 - INFO -   The dataset is a : 2 classification problem
2025-04-03 15:00:31,318 - INFO - Running just ONE TREE
2025-04-03 15:00:31,320 - INFO - Running in torch mode with dataset: breast_cancer
2025-04-03 15:00:31,320 - INFO - Batch size: 16
2025-04-03 15:00:31,320 - INFO - Number of trees: 1, Max depth: 8
2025-04-03 15:00:31,320 - INFO - Combine output: False, Subset selection: True
2025-04-03 15:00:31,459 - INFO - Created Soft Tree Model
2025-04-03 15:00:31,459 - INFO - Running on a: cpu
2025-04-03 15:00:35,734 - INFO - Epoch [1/100], Training Loss: 0.6418 | Training Accuracy: 0.675 | Test Lost: 0.5841 | Test Accuracy 0.7093
2025-04-03 15:00:37,558 - INFO - Epoch [2/100], Training Loss: 0.5879 | Training Accuracy: 0.695 | Test Lost: 0.5498 | Test Accuracy 0.7791
2025-04-03 15:00:39,446 - INFO - Epoch [3/100], Training Loss: 0.5704 | Training Accuracy: 0.705 | Test Lost: 0.5261 | Test Accuracy 0.7674
2025-04-03 15:00:41,323 - INFO - Epoch [4/100], Training Loss: 0.5431 | Training Accuracy: 0.725 | Test Lost: 0.5196 | Test Accuracy 0.7791
2025-04-03 15:00:43,253 - INFO - Epoch [5/100], Training Loss: 0.5365 | Training Accuracy: 0.695 | Test Lost: 0.5349 | Test Accuracy 0.7791
2025-04-03 15:00:45,451 - INFO - Epoch [6/100], Training Loss: 0.5302 | Training Accuracy: 0.74 | Test Lost: 0.5283 | Test Accuracy 0.8023
2025-04-03 15:00:47,482 - INFO - Epoch [7/100], Training Loss: 0.5156 | Training Accuracy: 0.755 | Test Lost: 0.5510 | Test Accuracy 0.7442
2025-04-03 15:00:49,471 - INFO - Epoch [8/100], Training Loss: 0.5069 | Training Accuracy: 0.745 | Test Lost: 0.5438 | Test Accuracy 0.8023
2025-04-03 15:00:51,390 - INFO - Epoch [9/100], Training Loss: 0.5070 | Training Accuracy: 0.715 | Test Lost: 0.5618 | Test Accuracy 0.7326
2025-04-03 15:00:53,230 - INFO - Epoch [10/100], Training Loss: 0.4972 | Training Accuracy: 0.76 | Test Lost: 0.5515 | Test Accuracy 0.7674
2025-04-03 15:00:55,101 - INFO - Epoch [11/100], Training Loss: 0.4955 | Training Accuracy: 0.735 | Test Lost: 0.5582 | Test Accuracy 0.7442
2025-04-03 15:00:57,130 - INFO - Epoch [12/100], Training Loss: 0.4941 | Training Accuracy: 0.74 | Test Lost: 0.5747 | Test Accuracy 0.6744
2025-04-03 15:00:59,056 - INFO - Epoch [13/100], Training Loss: 0.5061 | Training Accuracy: 0.72 | Test Lost: 0.5833 | Test Accuracy 0.7209
2025-04-03 15:01:01,005 - INFO - Epoch [14/100], Training Loss: 0.4779 | Training Accuracy: 0.715 | Test Lost: 0.5698 | Test Accuracy 0.7209
2025-04-03 15:01:02,940 - INFO - Epoch [15/100], Training Loss: 0.4909 | Training Accuracy: 0.75 | Test Lost: 0.5712 | Test Accuracy 0.7558
2025-04-03 15:01:04,850 - INFO - Epoch [16/100], Training Loss: 0.4777 | Training Accuracy: 0.725 | Test Lost: 0.5898 | Test Accuracy 0.6977
2025-04-03 15:01:06,751 - INFO - Epoch [17/100], Training Loss: 0.4620 | Training Accuracy: 0.75 | Test Lost: 0.5972 | Test Accuracy 0.7093
2025-04-03 15:01:08,690 - INFO - Epoch [18/100], Training Loss: 0.4719 | Training Accuracy: 0.755 | Test Lost: 0.6350 | Test Accuracy 0.6744
2025-04-03 15:01:10,595 - INFO - Epoch [19/100], Training Loss: 0.4706 | Training Accuracy: 0.765 | Test Lost: 0.5777 | Test Accuracy 0.7326
2025-04-03 15:01:12,711 - INFO - Epoch [20/100], Training Loss: 0.4697 | Training Accuracy: 0.76 | Test Lost: 0.5877 | Test Accuracy 0.7558
2025-04-03 15:01:14,570 - INFO - Epoch [21/100], Training Loss: 0.4616 | Training Accuracy: 0.75 | Test Lost: 0.6738 | Test Accuracy 0.6279
2025-04-03 15:01:16,522 - INFO - Epoch [22/100], Training Loss: 0.4869 | Training Accuracy: 0.75 | Test Lost: 0.6173 | Test Accuracy 0.7326
2025-04-03 15:01:18,445 - INFO - Epoch [23/100], Training Loss: 0.4659 | Training Accuracy: 0.76 | Test Lost: 0.5749 | Test Accuracy 0.7674
2025-04-03 15:01:20,516 - INFO - Epoch [24/100], Training Loss: 0.4420 | Training Accuracy: 0.765 | Test Lost: 0.6499 | Test Accuracy 0.6512
2025-04-03 15:01:22,474 - INFO - Epoch [25/100], Training Loss: 0.4500 | Training Accuracy: 0.755 | Test Lost: 0.6766 | Test Accuracy 0.6744
2025-04-03 15:01:24,363 - INFO - Epoch [26/100], Training Loss: 0.4799 | Training Accuracy: 0.745 | Test Lost: 0.6841 | Test Accuracy 0.7209
2025-04-03 15:01:26,307 - INFO - Epoch [27/100], Training Loss: 0.4449 | Training Accuracy: 0.775 | Test Lost: 0.6396 | Test Accuracy 0.6744
2025-04-03 15:01:28,264 - INFO - Epoch [28/100], Training Loss: 0.4663 | Training Accuracy: 0.775 | Test Lost: 0.6574 | Test Accuracy 0.6977
2025-04-03 15:01:30,236 - INFO - Epoch [29/100], Training Loss: 0.4334 | Training Accuracy: 0.765 | Test Lost: 0.6450 | Test Accuracy 0.6628
2025-04-03 15:01:32,134 - INFO - Epoch [30/100], Training Loss: 0.4389 | Training Accuracy: 0.785 | Test Lost: 0.6450 | Test Accuracy 0.6860
2025-04-03 15:01:34,099 - INFO - Epoch [31/100], Training Loss: 0.4210 | Training Accuracy: 0.795 | Test Lost: 0.6660 | Test Accuracy 0.6628
